18 Character Opportunity ID,15 character Opportunity ID,Account Name,Created Date
006Rj00000NiNjyIAF,006Rj00000NiNjy,Cadence Homes TX,6/26/2025
006Rj00000N9xObIAJ,006Rj00000N9xOb,Executive Homes,6/12/2025
006Rj00000N659WIAR,006Rj00000N659W,Akel Homes,6/11/2025
006Rj00000MIYrOIAX,006Rj00000MIYrO,Autograph Homes,5/22/2025
006Rj00000Lm149IAB,006Rj00000Lm149,Hines Homes,5/7/2025
006Rj00000LEfDmIAL,006Rj00000LEfDm,Thrive Companies,4/23/2025
006Rj00000KBurPIAT,006Rj00000KBurP,Red Door Homes Tn,3/24/2025
006Rj00000KBtvPIAT,006Rj00000KBtvP,Holland Homes LLC,3/24/2025
006Rj00000KAMmvIAH,006Rj00000KAMmv,Schaefer Homes,3/24/2025
006Rj00000JcZjNIAV,006Rj00000JcZjN,Home Development Inc (HDI),3/7/2025
006Rj00000IuPcWIAV,006Rj00000IuPcW,Rockwood Homes,2/13/2025
006Rj00000IrWp2IAF,006Rj00000IrWp2,CFB Homes,2/12/2025
006Rj00000EEPUjIAP,006Rj00000EEPUj,Kinghaus- KP Confidentcia LLC,10/3/2024
006Rj00000DUfRFIA1,006Rj00000DUfRF,Winchester Carlisle,9/13/2024
006Rj00000BoFvBIAV,006Rj00000BoFvB,Taylor Morrison of Indiana,7/25/2024
006Rj00000BJoVpIAL,006Rj00000BJoVp,Arden Homes,7/12/2024
0068c00000uIKAKAA4,0068c00000uIKAK,,10/24/2022
006Rj00000NQKZKIA5,006Rj00000NQKZK,Trico Homes,6/18/2025
006Rj00000NQKZGIA5,006Rj00000NQKZG,Remuda Ltd,6/18/2025
006Rj00000MgU6gIAF,006Rj00000MgU6g,Tri Pointe Group,6/2/2025
006Rj00000MV7IHIA1,006Rj00000MV7IH,BOA Builders,5/28/2025
006Rj00000MB5ZCIA1,006Rj00000MB5ZC,Bothwellco,5/19/2025
006Rj00000LlShVIAV,006Rj00000LlShV,Trumark Homes,5/7/2025
006Rj00000LHJRzIAP,006Rj00000LHJRz,Vantage Homes,4/24/2025
006Rj00000LH1ZvIAL,006Rj00000LH1Zv,Arthur Rutenberg Homes,4/24/2025
006Rj00000LGr7WIAT,006Rj00000LGr7W,Hamlet Homes,4/24/2025
006Rj00000LGp2TIAT,006Rj00000LGp2T,Touchstone Living,4/24/2025
006Rj00000KqWxNIAV,006Rj00000KqWxN,Choice Builders Group (Epcon),4/11/2025
006Rj00000Kp70jIAB,006Rj00000Kp70j,Cedarglen Homes,4/10/2025
006Rj00000KhUfGIAV,006Rj00000KhUfG,MN Custom Homes,4/7/2025
006Rj00000Jd3HdIAJ,006Rj00000Jd3Hd,OLO Builders,3/7/2025
006Rj00000JcxQlIAJ,006Rj00000JcxQl,Schneider Custom Homes,3/7/2025
006Rj00000JWQUIIA5,006Rj00000JWQUI,Hayden Homes,3/4/2025
006Rj00000JAQ7yIAH,006Rj00000JAQ7y,Calbridge Homes,2/21/2025
006Rj00000IuZLhIAN,006Rj00000IuZLh,Vanguard Homes (Colorado),2/13/2025
006Rj00000IXzqRIAT,006Rj00000IXzqR,Homes By Avi Inc,2/5/2025
006Rj00000HlBJBIA3,006Rj00000HlBJB,View Homes,1/17/2025
006Rj00000GWIQPIA5,006Rj00000GWIQP,Fieldstone Homes,12/13/2024
006Rj00000FdXd2IAF,006Rj00000FdXd2,BOA Builders,11/15/2024
006Rj00000F2f4rIAB,006Rj00000F2f4r,MonteVista Homes,10/28/2024
006Rj00000Ev7JFIAZ,006Rj00000Ev7JF,Creative Homes,10/24/2024
006Rj00000Ei81qIAB,006Rj00000Ei81q,Trico Homes,10/18/2024
006Rj00000DkrgBIAR,006Rj00000DkrgB,Shane Homes Group of Companies,9/20/2024
006Rj00000AttiuIAB,006Rj00000Attiu,Abrazo Homes,7/1/2024
006Rj00000AU7spIAD,006Rj00000AU7sp,Silverthorne Homebuilders,6/21/2024
006Rj00000AORPVIA5,006Rj00000AORPV,OLO Builders,6/18/2024
006Rj000009lqHJIAY,006Rj000009lqHJ,Porch Swing Homes,5/31/2024
006Rj0000098a9BIAQ,006Rj0000098a9B,AR Homes by Arthur Rutenberg,5/14/2024
006Rj000008gILiIAM,006Rj000008gILi,Integrity Homes,5/1/2024
006Rj000007nH6yIAE,006Rj000007nH6y,Nilson Homes,4/5/2024
006Rj000006dA5hIAE,006Rj000006dA5h,Hamlet Homes,3/3/2024
006Rj000005WOAqIAO,006Rj000005WOAq,Baessler Homes,2/1/2024
006Rj000005FsusIAC,006Rj000005Fsus,A+ Construction & Remodeling,1/26/2024
0068c00000ym62LAAQ,0068c00000ym62L,Fieldstone Homes,12/15/2023
0068c00000yloPRAAY,0068c00000yloPR,Crystal Creek Homes,11/30/2023
0068c00000ylmv9AAA,0068c00000ylmv9,Noyes Development Co,11/29/2023
0068c00000yliQhAAI,0068c00000yliQh,Pacific Lifestyle Homes,11/23/2023
0068c00000yks6UAAQ,0068c00000yks6U,Kartchner Homes,10/24/2023
0068c00000xMxetAAC,0068c00000xMxet,Richfield Homes,9/29/2023
0068c00000xMx3RAAS,0068c00000xMx3R,De Young Properties,9/28/2023
0068c00000wTAy6AAG,0068c00000wTAy6,New Peak Homes,5/18/2023
0068c00000wSp5oAAC,0068c00000wSp5o,View Homes,5/11/2023
0068c00000wSnZzAAK,0068c00000wSnZz,Pahlisch Homes,5/10/2023
0068c00000wSnZpAAK,0068c00000wSnZp,Visionary Homes,5/10/2023
0068c00000wSnQdAAK,0068c00000wSnQd,Meritage Homes,5/10/2023
0068c00000wSkYjAAK,0068c00000wSkYj,McCall Homes,5/9/2023
0068c00000wSd8KAAS,0068c00000wSd8K,Boulder Creek Neighborhoods,5/4/2023
0068c00000vTuHUAA0,0068c00000vTuHU,SnapADU,3/10/2023
0068c00000vTIC9AAO,0068c00000vTIC9,Massengill Design Build,2/24/2023
0068c00000uiuAPAAY,0068c00000uiuAP,John Balfanz Homes,12/16/2022
0068c00000uXbAHAA0,0068c00000uXbAH,Vantage Homes,6/21/2023
0068c00000t5WEeAAM,0068c00000t5WEe,Garbett Homes,8/29/2022
0068c00000rTzE5AAK,0068c00000rTzE5,Thomas James Homes,7/28/2022
0068c00000rTAPWAA4,0068c00000rTAPW,Lexar Homes,6/29/2022
0068c00000rSmSKAA0,0068c00000rSmSK,Blue Heron,6/14/2022
0068c00000ovSGYAA2,0068c00000ovSGY,Taylor Morrison,4/11/2022
0068c00000ovSGXAA2,0068c00000ovSGX,Pahlisch Homes,4/11/2022
0068c00000ovSGBAA2,0068c00000ovSGB,Garbett Homes,4/11/2022
0068c00000ovSG5AAM,0068c00000ovSG5,Homebound,4/11/2022
0068c00000ovSFrAAM,0068c00000ovSFr,Pacific Lifestyle Homes,4/11/2022
0068c00000ovSEOAA2,0068c00000ovSEO,Century Communities,4/11/2022
0068c00000ovSECAA2,0068c00000ovSEC,Thrive Home Builders,4/11/2022
0068c00000ovQ3yAAE,0068c00000ovQ3y,Visionary Homes,4/8/2022
0068c00000ovQ3PAAU,0068c00000ovQ3P,Creative Homes,4/8/2022
0068c00000ovQ39AAE,0068c00000ovQ39,Flagship Homes (UT),4/8/2022
006Rj00000NiNjxIAF,006Rj00000NiNjx,Camden Homes,6/26/2025
006Rj00000NiNjtIAF,006Rj00000NiNjt,Olivia Clarke Homes,6/26/2025
006Rj00000NiNjsIAF,006Rj00000NiNjs,W3 Luxury Living,6/26/2025
006Rj00000NiNjqIAF,006Rj00000NiNjq,Kindred Homes,6/26/2025
006Rj00000NiNjoIAF,006Rj00000NiNjo,"Green Brick Partners, Inc.",6/26/2025
006Rj00000NiNjnIAF,006Rj00000NiNjn,Pacesetter Homes (Qualico),6/26/2025
006Rj00000NiNjmIAF,006Rj00000NiNjm,Astoria Homes,6/26/2025
006Rj00000NiNjjIAF,006Rj00000NiNjj,Grenadier Homes,6/26/2025
006Rj00000NiNjiIAF,006Rj00000NiNji,Riverside Homebuilders,6/26/2025
006Rj00000NiNjhIAF,006Rj00000NiNjh,Bloomfield Homes,6/26/2025
006Rj00000NiNjgIAF,006Rj00000NiNjg,"Integrity Group, LLC (Epcon)",6/26/2025
006Rj00000NhcMeIAJ,006Rj00000NhcMe,Kindred Homes,6/26/2025
006Rj00000NfQpJIAV,006Rj00000NfQpJ,Astoria Homes,6/25/2025
006Rj00000NQKZFIA5,006Rj00000NQKZF,Brookfield Residential Properties,6/18/2025
006Rj00000NQKZ3IAP,006Rj00000NQKZ3,Douglas Homes,6/18/2025
006Rj00000NQKYzIAP,006Rj00000NQKYz,Hopewell,6/18/2025
006Rj00000NQDh7IAH,006Rj00000NQDh7,Southwest Sunset Homes,6/18/2025
006Rj00000NN9IbIAL,006Rj00000NN9Ib,Boone Homes,6/17/2025
006Rj00000N673BIAR,006Rj00000N673B,"Davis Homes, Llc.",6/11/2025
006Rj00000MdpNqIAJ,006Rj00000MdpNq,HHHunt Homes,5/31/2025
006Rj00000MO81NIAT,006Rj00000MO81N,K. Hovnanian Homes,5/24/2025
006Rj00000MJ2KnIAL,006Rj00000MJ2Kn,Forbes Capretto Homes,5/22/2025
006Rj00000LofiEIAR,006Rj00000LofiE,EQ Homes,5/8/2025
006Rj00000LjkU1IAJ,006Rj00000LjkU1,3 Pillar,5/6/2025
006Rj00000LjPHWIA3,006Rj00000LjPHW,First America Homes,5/6/2025
006Rj00000LZhVpIAL,006Rj00000LZhVp,"Cristo Homes, Inc.",5/1/2025
006Rj00000LZbyIIAT,006Rj00000LZbyI,Main Street Homes,5/1/2025
006Rj00000LWQEbIAP,006Rj00000LWQEb,Newmark Homes,4/30/2025
006Rj00000LGwAPIA1,006Rj00000LGwAP,LGI Homes,4/24/2025
006Rj00000Kpl4dIAB,006Rj00000Kpl4d,Perrino Design Center,4/11/2025
006Rj00000KlY2jIAF,006Rj00000KlY2j,Charis Homes,4/9/2025
006Rj00000KU4aYIAT,006Rj00000KU4aY,Beechwood Homes,4/1/2025
006Rj00000KPyyMIAT,006Rj00000KPyyM,Eagle Construction of VA,3/31/2025
006Rj00000JpDrVIAV,006Rj00000JpDrV,Empire Communities Inc,3/13/2025
006Rj00000Jd0oPIAR,006Rj00000Jd0oP,Jagoe Homes,3/7/2025
006Rj00000JcsndIAB,006Rj00000Jcsnd,Rockford Homes,3/7/2025
006Rj00000JccfeIAB,006Rj00000Jccfe,Scott Felder Homes LLC,3/7/2025
006Rj00000Jbi2LIAR,006Rj00000Jbi2L,Excel Homes,3/6/2025
006Rj00000JWS9VIAX,006Rj00000JWS9V,Lombardo Homes,3/4/2025
006Rj00000JWRa2IAH,006Rj00000JWRa2,Meadowbrook Builders,3/4/2025
006Rj00000HiQbLIAV,006Rj00000HiQbL,Landmark Homes,1/16/2025
006Rj00000FXs94IAD,006Rj00000FXs94,M/I Homes (corporate office),11/13/2024
006Rj00000FMkGYIA1,006Rj00000FMkGY,Legacy Design Homes / Denlinger & Sons,11/7/2024
006Rj00000FBCYHIA5,006Rj00000FBCYH,Telesis Homes,11/1/2024
006Rj00000F20T7IAJ,006Rj00000F20T7,Skogman Homes,10/28/2024
006Rj00000F1J4nIAF,006Rj00000F1J4n,Stateson Homes,10/28/2024
006Rj00000ERfmzIAD,006Rj00000ERfmz,Rockford Homes,10/10/2024
006Rj00000EJxp7IAD,006Rj00000EJxp7,Evergreene Homes,10/7/2024
006Rj00000Dk3RfIAJ,006Rj00000Dk3Rf,Scott Felder Homes LLC,9/20/2024
006Rj00000DQ7HhIAL,006Rj00000DQ7Hh,HHHunt Homes,9/11/2024
006Rj00000CUeXNIA1,006Rj00000CUeXN,Brightland Homes [HQ],8/14/2024
006Rj00000CDM5RIAX,006Rj00000CDM5R,Pyatt Builders [ACQUIRED],8/6/2024
006Rj000009lH0EIAU,006Rj000009lH0E,Simply Home by Camillo,5/31/2024
006Rj000009SwK2IAK,006Rj000009SwK2,Great Gulf,5/22/2024
006Rj000009SsgFIAS,006Rj000009SsgF,Verity Homes,5/22/2024
006Rj000009BemZIAS,006Rj000009BemZ,Sterling Homes Calgary,5/15/2024
006Rj000009B9E6IAK,006Rj000009B9E6,Mid-Atlantic Builders,5/15/2024
006Rj000008lL9FIAU,006Rj000008lL9F,Douglas Homes,5/3/2024
006Rj000008MmsbIAC,006Rj000008Mmsb,Heritage Homes,4/22/2024
006Rj000008GtqMIAS,006Rj000008GtqM,Milestone Community Builders,4/19/2024
006Rj0000080JakIAE,006Rj0000080Jak,Losani Homes Ltd.,4/11/2024
006Rj000007s6M9IAI,006Rj000007s6M9,Sage Homes Iowa,4/8/2024
006Rj000007nbOzIAI,006Rj000007nbOz,Aspen Grey Homes,4/5/2024
006Rj000007gx7hIAA,006Rj000007gx7h,Elevated Builders,4/2/2024
006Rj000007gCiVIAU,006Rj000007gCiV,Mattamy Homes,4/2/2024
006Rj000007frM5IAI,006Rj000007frM5,Reece Homes,4/2/2024
006Rj000007XZpNIAW,006Rj000007XZpN,"Cristo Homes, Inc.",3/28/2024
006Rj000007X4wrIAC,006Rj000007X4wr,"Toll Brothers, Inc.",3/28/2024
006Rj000007HmIkIAK,006Rj000007HmIk,Rock Creek Homes,3/21/2024
006Rj000007HZVBIA4,006Rj000007HZVB,Ashburn Homes,3/21/2024
006Rj000007CoptIAC,006Rj000007Copt,Ashlar Homes,3/19/2024
006Rj000007AZtJIAW,006Rj000007AZtJ,Panther Builders,3/18/2024
006Rj0000071hgQIAQ,006Rj0000071hgQ,Bishard Development Corp,3/14/2024
006Rj0000071VLuIAM,006Rj0000071VLu,Berks Homes,3/14/2024
006Rj000006zPxJIAU,006Rj000006zPxJ,TR Hughes Homes,3/13/2024
006Rj000006zLaNIAU,006Rj000006zLaN,Summit Custom Homes,3/13/2024
006Rj000006zLKFIA2,006Rj000006zLKF,Landmark Homes,3/13/2024
006Rj000006xTQkIAM,006Rj000006xTQk,Couto Homes,3/12/2024
006Rj000006uxmjIAA,006Rj000006uxmj,K. Hovnanian Homes,3/11/2024
006Rj000006paZ4IAI,006Rj000006paZ4,Newmark Homes,3/8/2024
006Rj000006pWP1IAM,006Rj000006pWP1,HistoryMaker Homes,3/8/2024
006Rj000006mgSvIAI,006Rj000006mgSv,Marrano Homes - Marc Equity Corp,3/7/2024
006Rj000006lbYYIAY,006Rj000006lbYY,Halen Homes,3/6/2024
006Rj000006laWDIAY,006Rj000006laWD,Eastbrook Homes,3/6/2024
006Rj000006d9zGIAQ,006Rj000006d9zG,Adair Homes,3/3/2024
0068c00000ymY6NAAU,0068c00000ymY6N,Wormald Development Company,1/18/2024
0068c00000ymY6MAAU,0068c00000ymY6M,Wayne Homes,1/18/2024
0068c00000ym8T1AAI,0068c00000ym8T1,STK Homes,12/18/2023
0068c00000ym5e7AAA,0068c00000ym5e7,SIDAR Builders,12/14/2023
0068c00000ylt1cAAA,0068c00000ylt1c,Simply Home by Camillo,12/6/2023
0068c00000ylkQ3AAI,0068c00000ylkQ3,JTB Homes,11/27/2023
