18 Character Opportunity ID,15 character Opportunity ID,Account Name,Created Date
0068c00000ylk7XAAQ,0068c00000ylk7X,Hedgefield Homes,11/27/2023
0068c00000yljoLAAQ,0068c00000yljoL,David Weekley Homes,11/27/2023
0068c00000yljlvAAA,0068c00000yljlv,Trophy Signature Homes,11/27/2023
0068c00000yliQNAAY,0068c00000yliQN,EGStoltzfus Homes,11/23/2023
0068c00000yl06iAAA,0068c00000yl06i,Sterling Homes Calgary,11/3/2023
0068c00000xNOI7AAO,0068c00000xNOI7,Bishard Development Corp,10/13/2023
0068c00000xNOHxAAO,0068c00000xNOHx,Stylecraft Builders,10/13/2023
0068c00000xMm3iAAC,0068c00000xMm3i,Schumacher Homes,9/22/2023
0068c00000xMNMgAAO,0068c00000xMNMg,Havyn Homes,9/12/2023
0068c00000xMJsdAAG,0068c00000xMJsd,Insight Homes,9/8/2023
0068c00000xMB73AAG,0068c00000xMB73,Empire Communities Inc,9/1/2023
0068c00000xM2ueAAC,0068c00000xM2ue,Capstone Homes,8/24/2023
0068c00000xM2tvAAC,0068c00000xM2tv,Tilson Homes,8/24/2023
0068c00000xM2tcAAC,0068c00000xM2tc,Eddy Homes,8/24/2023
0068c00000xLt22AAC,0068c00000xLt22,Esperanza Homes,8/16/2023
0068c00000xLSfPAAW,0068c00000xLSfP,Thomsen Homes LLC,8/3/2023
0068c00000xLSe7AAG,0068c00000xLSe7,McBride Homes,8/3/2023
0068c00000wTGzvAAG,0068c00000wTGzv,Tuskes Homes,5/19/2023
0068c00000wSp5ZAAS,0068c00000wSp5Z,Shaddock Homes,5/11/2023
0068c00000wSp50AAC,0068c00000wSp50,McKee Builders,5/11/2023
0068c00000wSp4HAAS,0068c00000wSp4H,Caruso Homes,5/11/2023
0068c00000wSnS5AAK,0068c00000wSnS5,Clay Residential,5/10/2023
0068c00000wScn0AAC,0068c00000wScn0,Trendsetter Homes,5/4/2023
0068c00000vluIuAAI,0068c00000vluIu,CastleRock Communities,4/19/2023
0068c00000vlmoSAAQ,0068c00000vlmoS,Corinth Residential,4/17/2023
0068c00000vlmoRAAQ,0068c00000vlmoR,Impression Homes,4/17/2023
0068c00000vliPLAAY,0068c00000vliPL,Core Spaces LLC,4/13/2023
0068c00000vliPBAAY,0068c00000vliPB,Olthof Homes,4/13/2023
0068c00000vliMIAAY,0068c00000vliMI,Brookson Builders,4/13/2023
0068c00000vUXFEAA4,0068c00000vUXFE,Wayne Homes,3/28/2023
0068c00000vU4KGAA0,0068c00000vU4KG,Key Land Homes,3/15/2023
0068c00000vSuiyAAC,0068c00000vSuiy,LevelTX Corp,2/12/2023
0068c00000uj13uAAA,0068c00000uj13u,Glenwood Homes,12/20/2022
0068c00000uiuAGAAY,0068c00000uiuAG,Authentic Custom Homes,12/16/2022
0068c00000uY8RLAA0,0068c00000uY8RL,Wormald Development Company,7/7/2023
0068c00000uXxBmAAK,0068c00000uXxBm,Pyatt Builders [ACQUIRED],6/29/2023
0068c00000uXwgtAAC,0068c00000uXwgt,Excel Homes,6/29/2023
0068c00000uXRaqAAG,0068c00000uXRaq,Backyard ADUs,6/16/2023
0068c00000uXRA4AAO,0068c00000uXRA4,David Weekley Homes,6/16/2023
0068c00000uXQFKAA4,0068c00000uXQFK,Newmark Homes,6/15/2023
0068c00000uXQ4AAAW,0068c00000uXQ4A,Graham Hart Home Builder,6/15/2023
0068c00000uX7cWAAS,0068c00000uX7cW,M/I Homes (corporate office),6/12/2023
0068c00000uWcm7AAC,0068c00000uWcm7,Perry Homes,6/2/2023
0068c00000uWZsDAAW,0068c00000uWZsD,Cambridge Homes,6/1/2023
0068c00000uWKIfAAO,0068c00000uWKIf,Betenbough Homes,5/25/2023
0068c00000uNb3GAAS,0068c00000uNb3G,Lombardo Homes,11/9/2022
0068c00000uIZpJAAW,0068c00000uIZpJ,Landmark Fine Homes,10/28/2022
0068c00000uIY4tAAG,0068c00000uIY4t,Elevate Design + Build,10/27/2022
0068c00000uITbNAAW,0068c00000uITbN,Chesmar Homes,10/25/2022
0068c00000uHwW0AAK,0068c00000uHwW0,Eldon Homes,10/12/2022
0068c00000tfunhAAA,0068c00000tfunh,McKee Builders,10/5/2022
0068c00000rTANkAAO,0068c00000rTANk,Heritage Homes,6/29/2022
0068c00000rSmSjAAK,0068c00000rSmSj,Disama Building Group,6/14/2022
0068c00000rSmSeAAK,0068c00000rSmSe,Brohn Homes,6/14/2022
0068c00000rSVzGAAW,0068c00000rSVzG,STK Homes,6/7/2022
0068c00000ovSGKAA2,0068c00000ovSGK,Citadel Signature Homes,4/11/2022
0068c00000ovSGIAA2,0068c00000ovSGI,Legacy DCS,4/11/2022
0068c00000ovSG0AAM,0068c00000ovSG0,Betenbough Homes,4/11/2022
0068c00000ovSFvAAM,0068c00000ovSFv,Traditions of America,4/11/2022
0068c00000ovSFpAAM,0068c00000ovSFp,Perfection Builders,4/11/2022
0068c00000ovSFnAAM,0068c00000ovSFn,Clarity Construction,4/11/2022
0068c00000ovSFmAAM,0068c00000ovSFm,Keystone Custom Home,4/11/2022
0068c00000ovSFkAAM,0068c00000ovSFk,Maronda Homes,4/11/2022
0068c00000ovSEUAA2,0068c00000ovSEU,Dan Ryan Builders (DRB Group),4/11/2022
0068c00000ovSETAA2,0068c00000ovSET,Homes by Taber,4/11/2022
0068c00000ovSEQAA2,0068c00000ovSEQ,Mattamy Homes,4/11/2022
0068c00000ovSEJAA2,0068c00000ovSEJ,Estridge Homes,4/11/2022
0068c00000ovSEHAA2,0068c00000ovSEH,Hubbell Homes,4/11/2022
0068c00000ovSEBAA2,0068c00000ovSEB,Legend Homes by Camillo,4/11/2022
0068c00000ovSE9AAM,0068c00000ovSE9,"Toll Brothers, Inc.",4/11/2022
0068c00000ovSE8AAM,0068c00000ovSE8,Eddy Homes,4/11/2022
0068c00000ovSE7AAM,0068c00000ovSE7,Schell Brothers,4/11/2022
0068c00000ovSE6AAM,0068c00000ovSE6,Capital Homes,4/11/2022
0068c00000ovRCxAAM,0068c00000ovRCx,Hubbell Homes,4/10/2022
0068c00000ovQ9qAAE,0068c00000ovQ9q,Epcon Corporate Communities,4/8/2022
0068c00000ovQ9IAAU,0068c00000ovQ9I,Epcon Franchising,4/8/2022
0068c00000ovQ6UAAU,0068c00000ovQ6U,Esperanza Homes,4/8/2022
0068c00000ovQ66AAE,0068c00000ovQ66,Tim O'Brien Homes,4/8/2022
0068c00000ovQ43AAE,0068c00000ovQ43,William Ryan Homes,4/8/2022
0068c00000ovQ3wAAE,0068c00000ovQ3w,Van Metre Homes,4/8/2022
0068c00000ovQ3ZAAU,0068c00000ovQ3Z,K. Hovnanian Homes,4/8/2022
0068c00000ovQ3VAAU,0068c00000ovQ3V,Grand Homes,4/8/2022
0068c00000ovQ3SAAU,0068c00000ovQ3S,Drees Homes,4/8/2022
0068c00000ovQ3EAAU,0068c00000ovQ3E,Adair Homes,4/8/2022
0068c00000ovQ3BAAU,0068c00000ovQ3B,Riverside Homebuilders,4/8/2022
0068c00000ovQ3AAAU,0068c00000ovQ3A,Garman Builders,4/8/2022
0068c00000ovQ38AAE,0068c00000ovQ38,Beacon Fine Homes & Custom Pools,4/8/2022
0068c00000ovQ37AAE,0068c00000ovQ37,Antares Homes,4/8/2022
0068c00000ovQ31AAE,0068c00000ovQ31,Verity Homes,4/8/2022
0068c00000ovQ30AAE,0068c00000ovQ30,Veridian Homes,4/8/2022
0068c00000ovQ2YAAU,0068c00000ovQ2Y,Rochester Homes,4/8/2022
0068c00000ovQ2WAAU,0068c00000ovQ2W,Riverwood Homes - Wisconsin,4/8/2022
0068c00000ovQ2RAAU,0068c00000ovQ2R,R&R Homes,4/8/2022
0068c00000ovQ21AAE,0068c00000ovQ21,Lancia Homes,4/8/2022
0068c00000ovQ1wAAE,0068c00000ovQ1w,Kaerek Homes,4/8/2022
0068c00000ovQ1tAAE,0068c00000ovQ1t,Jagoe Homes,4/8/2022
0068c00000ovQ1nAAE,0068c00000ovQ1n,Ideal Homes,4/8/2022
0068c00000ovQ1OAAU,0068c00000ovQ1O,Cronkhite Homes,4/8/2022
0068c00000ovQ0oAAE,0068c00000ovQ0o,Eastbrook Homes,4/8/2022
006Rj00000NcyynIAB,006Rj00000Ncyyn,"Traton Homes, LLC",6/24/2025
006Rj00000Msp46IAB,006Rj00000Msp46,Front Light Building Company,6/6/2025
006Rj00000Lm1TxIAJ,006Rj00000Lm1Tx,Sunrise Homes,5/7/2025
006Rj00000LYtfVIAT,006Rj00000LYtfV,GL Homes,5/1/2025
006Rj00000LDgoXIAT,006Rj00000LDgoX,Brown Haven Homes,4/23/2025
006Rj00000KqoJmIAJ,006Rj00000KqoJm,Brittenum Construction Company,4/11/2025
006Rj00000KCYtfIAH,006Rj00000KCYtf,True Homes,3/25/2025
006Rj00000KAO5yIAH,006Rj00000KAO5y,Tri Pointe Homes,3/24/2025
006Rj00000Jp7AzIAJ,006Rj00000Jp7Az,The Kolter Group,3/13/2025
006Rj00000JchfJIAR,006Rj00000JchfJ,Park Square Homes,3/7/2025
006Rj00000HeftvIAB,006Rj00000Heftv,Classica Homes,1/15/2025
006Rj00000FLtwvIAD,006Rj00000FLtwv,Absolute Construction & Development,11/6/2024
006Rj00000EiUdTIAV,006Rj00000EiUdT,New Leaf Builders,10/18/2024
006Rj00000EF1YPIA1,006Rj00000EF1YP,Eastwood Homes,10/4/2024
006Rj00000EF0VtIAL,006Rj00000EF0Vt,Madison Homebuilders,10/4/2024
006Rj00000EEyYwIAL,006Rj00000EEyYw,Artisan Built Communities,10/4/2024
006Rj00000EEMbhIAH,006Rj00000EEMbh,Gulf Bay Homes,10/3/2024
006Rj00000CdN7WIAV,006Rj00000CdN7W,Smith Douglas Homes,8/19/2024
006Rj00000CdH71IAF,006Rj00000CdH71,Ivey Homes,8/19/2024
006Rj00000CFzU5IAL,006Rj00000CFzU5,McKee Homes,8/7/2024
006Rj00000BqmDVIAZ,006Rj00000BqmDV,Robuck Homes,7/26/2024
006Rj00000ASUQPIA5,006Rj00000ASUQP,Hunter Quinn Homes,6/20/2024
006Rj000009X6fnIAC,006Rj000009X6fn,Value Build Homes,5/24/2024
006Rj000007o0jxIAA,006Rj000007o0jx,Ben Stout Construction,4/5/2024
006Rj000007lzFKIAY,006Rj000007lzFK,Franklin Homes,4/4/2024
006Rj000007ZcPlIAK,006Rj000007ZcPl,BC Stone Homes,3/29/2024
006Rj000007ZRqwIAG,006Rj000007ZRqw,GreenTech Homes,3/29/2024
006Rj000007KKzRIAW,006Rj000007KKzR,New Home Inc.,3/22/2024
006Rj0000070O1bIAE,006Rj0000070O1b,Legacy South,3/13/2024
006Rj000006vXDVIA2,006Rj000006vXDV,United Built Homes,3/11/2024
006Rj000006q2FBIAY,006Rj000006q2FB,Coastal Affaire (Tracewater),3/8/2024
006Rj000006q1sbIAA,006Rj000006q1sb,Great Southern Homes,3/8/2024
0068c00000ym5ztAAA,0068c00000ym5zt,Pulte Group,12/15/2023
0068c00000ym4SyAAI,0068c00000ym4Sy,Signature Homes,12/13/2023
0068c00000ylk7NAAQ,0068c00000ylk7N,Veranda Homes,11/27/2023
0068c00000xNvdEAAS,0068c00000xNvdE,Brown Haven Homes,10/16/2023
0068c00000xMm5PAAS,0068c00000xMm5P,Landmark24 Homes,9/22/2023
0068c00000xMm55AAC,0068c00000xMm55,McGuinn Hybrid Homes,9/22/2023
0068c00000xMm4RAAS,0068c00000xMm4R,The Providence Group (Green Brick Partners),9/22/2023
0068c00000xMm1jAAC,0068c00000xMm1j,Trinity Family Builders,9/22/2023
0068c00000xLuJpAAK,0068c00000xLuJp,Rausch Coleman Homes,8/17/2023
0068c00000wSq7hAAC,0068c00000wSq7h,Cook Residential,5/12/2023
0068c00000wSnbqAAC,0068c00000wSnbq,Carrington Creek Homes,5/10/2023
0068c00000vljnhAAA,0068c00000vljnh,Bespoke Homes,4/14/2023
0068c00000vU1K6AAK,0068c00000vU1K6,Tri Pointe Homes,3/14/2023
0068c00000vTuHeAAK,0068c00000vTuHe,"Broadstreet Homes, Inc.",3/10/2023
0068c00000vSuitAAC,0068c00000vSuit,My Southern Homes of Polk County,2/12/2023
0068c00000vRi6nAAC,0068c00000vRi6n,Lowder New Homes,1/19/2023
0068c00000vRi6dAAC,0068c00000vRi6d,Windsong Properties,1/19/2023
0068c00000uYTB3AAO,0068c00000uYTB3,Turner Homes,7/13/2023
0068c00000uXjvjAAC,0068c00000uXjvj,Avtec Homes,6/26/2023
0068c00000uWdqaAAC,0068c00000uWdqa,Carter + Clark,6/2/2023
0068c00000uHs2QAAS,0068c00000uHs2Q,Cardel Homes (FL),10/10/2022
0068c00000rUIG0AAO,0068c00000rUIG0,Trusst Building Group,8/3/2022
0068c00000rSnejAAC,0068c00000rSnej,Turner Homes,6/14/2022
0068c00000ovSFyAAM,0068c00000ovSFy,Hughston Homes,4/11/2022
0068c00000ovSFoAAM,0068c00000ovSFo,Robuck Homes,4/11/2022
0068c00000ovSFjAAM,0068c00000ovSFj,Homes by Dickerson,4/11/2022
0068c00000ovSERAA2,0068c00000ovSER,Lennar,4/11/2022
0068c00000ovSENAA2,0068c00000ovSEN,Dream Finders Homes,4/11/2022
0068c00000ovSELAA2,0068c00000ovSEL,Rausch Coleman Homes,4/11/2022
0068c00000ovSEAAA2,0068c00000ovSEA,Pulte Group,4/11/2022
0068c00000ovRD7AAM,0068c00000ovRD7,Brock Built,4/10/2022
0068c00000ovQ9rAAE,0068c00000ovQ9r,Red Tree Builders,4/8/2022
0068c00000ovQ41AAE,0068c00000ovQ41,Buffington Homes of Arkansas,4/8/2022
0068c00000ovQ40AAE,0068c00000ovQ40,AR Homes Franchising,4/8/2022
0068c00000ovQ3kAAE,0068c00000ovQ3k,My Home Communities,4/8/2022
0068c00000ovQ2yAAE,0068c00000ovQ2y,Truland Homes,4/8/2022
0068c00000ovQ2lAAE,0068c00000ovQ2l,Stone Martin Builders,4/8/2022
0068c00000ovQ1mAAE,0068c00000ovQ1m,Homes by Westbay,4/8/2022
0068c00000ovQ1KAAU,0068c00000ovQ1K,Christopher Alan Homes,4/8/2022
0068c00000ovQ0zAAE,0068c00000ovQ0z,Alvarez Construction,4/8/2022
0068c00000ovQ0qAAE,0068c00000ovQ0q,Logan Homes,4/8/2022
0068c00000ovQ0nAAE,0068c00000ovQ0n,Davidson Homes,4/8/2022
0068c00000ym4VsAAI,0068c00000ym4Vs,Riverwood Homes - Arkansas,12/13/2023
0068c00000xMB6UAAW,0068c00000xMB6U,Kiella Homebuilders,9/1/2023
0068c00000xM3tFAAS,0068c00000xM3tF,Highland Homes Inc,8/25/2023
0068c00000ovSEGAA2,0068c00000ovSEG,Highland Homes Inc,4/11/2022
0068c00000ovQ44AAE,0068c00000ovQ44,DSLD Homes,4/8/2022
